SoftwareName,SilentSwitch,SuccessCodes
3CX,/qn /norestart,"0,1641,3010"
Anaconda,/S /RegisterPython=0,"0,3010"
Android_Studio,/S /AllUsers,"0,1223,3010"
Appium,/S,"0,3010"
Chrome,/qn /norestart,"0,3010"
Dbeaver,/S /allusers,"0,1641,3010"
Draw.io,/S,"0,3010"
eSigner,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART,"0,3010"
Figma,/S,"0,3010"
Git,/VERYSILENT /NORESTART /NOCANCEL /SP- /SUPPRESSMSGBOXES,"0,3010"
Greenshot,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART,"0,1641,3010"
IDEA,/S,"0,3010"
iTaxViewer,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART,"0,3010"
Java,/s,"0,3010"
LibreOffice,/qn /norestart,"0,3010"
Lightshot,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART,"0,3010"
MobaXterm,/qn /norestart,"0,3010"
MongoDB,/qn /norestart,"0,3010"
Node.js,/qn /norestart,"0,3010"
Notepad++,/S,"0,3010"
nvm,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART,"0,3010"
PBI Desktop,-quiet -norestart,"0,3010"
Pg4dmin,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART,"0,3010"
Podman,-quiet -norestart,"0,3010"
Postgresql,--mode unattended --unattendedmodeui none,"0,3010"
Postman,/S,"0,3010"
Power Automate,-quiet,"0,3010"
Python,/quiet InstallAllUsers=1 PrependPath=1,"0,3010"
SoapUI,-q,"0,3010"
Sourcetree,/S,"0,3010"
VSCode,/VERYSILENT /MERGETASKS=!runcode /SUPPRESSMSGBOXES /NORESTART,"0,3010"
WinSCP,/VERYSILENT /SUPPRESSMSGBOXES /NORESTART /ALLUSERS,"0,3010"
Xmind,/S,"0,3010"
